id,name,group,role,purpose,components,actions,data,fields,related,workflow,status,image
01,Public Brand & Marketing Entry,brand,Visitor / prospect,Explain the Tanzania-first ERP value proposition and route the user into the secure workspace.,"Brand mark, capability cards, trust strip, CTA, language selector",Launch App; view capabilities; contact/support,"Brand promise, module families, compliance positioning",Language; workspace entry intent,Authentication; Dashboard,Discovery → Launch App → Auth Gateway,Verified surface,01-Authentication/01_public_brand_marketing_entry.png
02,Authentication & Secure Onboarding,brand,Visitor / owner / invited user,Authenticate safely and guide new organizations through setup or joining.,"Login form, sign-up wizard, recovery, OAuth/passkey options, progress indicator",Sign in; create company; join company; recover access,"Identity, company, role, verification state",Email; password; company name; country; industry; invite code,Brand Entry; Settings; Employee Portal,Entry → Credentials → Validation → Verification → Workspace,Verified surface,01-Authentication/02_authentication_secure_onboarding.png
03,Master Application Shell & Navigation,dashboard,All authenticated roles,"Provide persistent navigation, context, global search, notifications, and safe mobile access.","Sidebar, command palette, company/branch selector, top bar, bottom nav, breadcrumbs",Switch module; search; open notifications; profile; collapse nav,"Active tenant, branch, role, entitlements, unread counts",Company; branch; active module; density; theme,Every module; Settings,Auth → Shell → Module route → Contextual workspace,Verified surface,02-Dashboard/03_master_application_shell_navigation.png
04,Executive Dashboard,dashboard,Owner / CEO / CFO / auditor,Give a trusted cross-module operating view with KPI context and next actions.,"KPI cards, trend chart, alerts, quick actions, module health, date context",Open detail; filter period; export brief; act on alert,"Revenue, receivables, stock, people, approvals, risk",Period; currency; department; branch,Finance; Sales; HR; Inventory; Analytics,Load context → KPIs → Drill-down → Action,Verified surface,02-Dashboard/04_executive_dashboard.png
05,Daily Business Briefing,dashboard,Executive / manager,Turn daily operational signals into an actionable briefing.,"Briefing timeline, health score, exceptions, recommendation cards, export",Acknowledge; open evidence; export PDF; assign follow-up,"Sales, cash, inventory, HR, CRM, projects, controls",Date; severity; owner; status,Dashboard; Reports; AI Assistant,Signals → Prioritization → Evidence → Decision → Follow-up,Verified surface,02-Dashboard/05_daily_business_briefing.png
06,CRM & Customer Pipeline,other,Sales Manager / support agent,Manage leads and opportunities through a visible revenue pipeline.,"Kanban, customer 360, lead score, activity composer, filters",Create lead; qualify; move stage; schedule activity,"Leads, contacts, opportunities, activities, probability",Name; phone; email; stage; value; owner; next action,Sales; Marketing; Support,Lead → Qualify → Proposal → Negotiation → Won/Lost,Verified surface,20-Other-Modules/06_crm_customer_pipeline.png
07,Sales & Billing,sales,Sales Manager / finance officer,"Convert quotations and orders into invoices, receipts, and payment evidence.","Document tabs, line-item editor, tax summary, invoice preview, dispatch drawer",Create quote; accept order; issue invoice; record payment; send,"Customers, products, tax, totals, payment status, receipts",Customer; lines; tax; due date; channel; currency,CRM; Inventory; POS; Finance; TRA,Quote → Order → Invoice → Payment → Receipt → Ledger,Verified surface,03-Sales/07_sales_billing.png
08,Point of Sale,sales,Cashier / store manager,"Process fast, auditable sales online or through the controlled offline queue.","Product search, cart, tender selector, receipt panel, shift controls, sync banner",Scan; hold; tender; refund; print; reconcile; retry sync,"SKU, quantity, tax, tender, cashier, device, queue status",Barcode; quantity; discount; payment method; customer,Inventory; Finance; Sales; TRA,Open shift → Cart → Tender → Confirm → Receipt → Reconcile,Verified surface,03-Sales/08_point_of_sale.png
09,Inventory & Warehouse Management,inventory,Warehouse Manager / procurement officer,"Control stock availability, movements, valuation, and reorder decisions.","Stock table, warehouse selector, movement drawer, reorder cards, batch detail",Receive; transfer; adjust; reserve; export; audit,"SKU, batches, warehouses, balances, valuation, reorder points",SKU; warehouse; quantity; batch; reason; supplier,Procurement; POS; Manufacturing; SCM,Request → Approve → Receive/Move → Reconcile → Report,Verified surface,04-Inventory/09_inventory_warehouse_management.png
10,Procurement & Vendor Management,inventory,Procurement Officer,"Control supplier sourcing, approvals, orders, and vendor settlement evidence.","Vendor directory, requisition queue, PO builder, approval trail, payment status",Create requisition; approve PO; receive; match invoice,"Vendors, POs, contracts, receipts, approvals, payments",Vendor; items; budget; delivery; approver; terms,Inventory; Finance; Projects,Need → Requisition → Approval → PO → Receipt → Settlement,Verified surface,04-Inventory/10_procurement_vendor_management.png
11,Finance & Accounting,finance,CFO / Finance Manager / auditor,"Provide controlled financial operations, ledgers, reconciliations, tax, and budgets.","Ledger navigator, account cards, reconciliation workspace, budget panels, journal review",Post journal; reconcile; approve; close period; export statement,"Accounts, journals, invoices, expenses, budgets, bank balances",Account; date; debit; credit; cost centre; tax; period,Sales; Procurement; POS; Bank & MFI; Reports,Source event → Journal → Approval → Posting → Reconciliation → Close,Verified surface,05-Finance/11_finance_accounting.png
